id,grid
158176,CP82
158290,CP93
158913,CQ78
158955,CU84
159749,CV95
159815,CV95
159913,CE71
160609,CJ59
160994,CK76
161366,DB72
161394,CU82
161996,CT39
162493,CQ82
162508,CS97
163627,CN83
163809,CR49
163814,CH78
163836,CV79
164989,CF79
165080,CG94
165461,CP49
165824,DA73
166006,CP51
166172,DA86
166541,CU34
166983,CF94
167013,CF71
167017,CJ95
167222,CK95
167482,CJ58
168084,CK78
168123,CI101
168546,CT50
168810,CL56
169002,CS42
169152,CR94
169306,DE29
169464,CO85
169483,CM122
170420,CV53
170761,CL92
171776,CT50
172700,CH82
172870,CR49
173072,CR48
173151,CQ77
173742,CI74
174527,CZ91
174966,CI60
176135,CP96
176653,CJ76
176962,CR84
177421,CR79
177495,CF73
177606,CK72
179670,CJ80
179741,CF79
180507,DA66
180792,DA66
181972,CT40
182069,CT54
182095,CE74
182177,DS27
182649,CO82
185266,CU82
187488,CE74
187566,CS90
187986,CF73
188146,CQ81
188661,CL93
188674,CH75
189135,CG64
189181,CD70
189732,DN96
189787,CS99
190267,CP63
190542,CR91
190968,CO95
190974,CJ98
191075,CK78
193105,CG61
193333,CP80
193393,CZ72
193853,CE72
194154,CP52
195123,CT38
195233,CQ104
195240,CQ103
195578,CT86
195971,CW91
195989,CJ96
196010,CJ96
197155,CH64
197753,CT39
197942,CQ93
199195,CU40
199312,CU83
200645,CQ63
200955,CJ76
201992,CK96
202273,CS91
203901,CQ62
204065,CP92
204833,CS84
204959,CF82
205043,CH66
205485,CU94
205735,DD93
205867,CU80
206071,DA40
206316,CM92
206772,CN82
206957,CU129
208148,CQ80
208889,CW91
209310,CZ73
211078,CP76
211974,CK76
212109,CC73
212178,CH66
212544,CI96
213272,DA87
213330,CH81
214917,AQ121
215560,CQ92
215784,DA67
215907,CP51
217580,BV117
218358,CR48
219066,CG117
219482,CP93
219793,CI81
219818,CI80
219922,CQ45
220351,CR41
220563,CS92
220946,CK79
221043,CG76
221097,CR78
221618,CC83
222054,CK94
222304,CE72
223930,CN97
224004,CR49
224006,CS49
224510,CI92
225297,CI72
225306,CQ92
225887,CL92
225926,CN91
225976,BL120
226021,CT83
227715,CS95
227735,CI78
228317,CZ93
228496,CE74
228517,CE81
228925,CV95
228979,CH65
229367,CJ77
229874,CE101
230321,CR91
230854,DA40
230877,CT53
230956,CJ77
231414,CE78
232612,CU93
232618,CW53
233189,CF65
233638,DD87
233662,CN67
234184,CU47
234870,CR70
235552,CI100
235651,CD73
235951,CM68
235960,CI80
236671,CQ81
236788,CI86
236806,CI79
237127,CJ73
237210,CG75
239055,CF80
239733,DB59
239766,CH81
239826,CJ74
239883,CM93
239899,CP101
240800,CO95
241140,CN91
241159,CP90
241862,CC76
242532,CN91
242643,CU84
243229,CS94
243708,CQ84
245504,CY29
245544,DG26
245574,CR91
245607,CF68
246134,CT96
246351,CJ73
246916,DL74
246938,CH80
248865,CR73
248871,CD76
249414,CE75
249618,CY32
249867,DA92
250259,CP80
